timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559660887671,0,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660887671,84,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660887671,4200,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660887671,230,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660888672,1043,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660888672,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660888672,36125,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660888672,2085,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660889777,870,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660889777,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660889778,46288,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660889778,27003,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660890992,48599,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660890992,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660890992,61983,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660890992,6589,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660893493,142766,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660893493,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660893493,99682,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660893493,0,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660894493,122539,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660894493,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660894494,99363,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660894494,634,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660895627,128619,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660895628,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660895628,99324,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660895628,673,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660897103,136949,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660897103,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660897103,99661,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660897103,0,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660898518,125706,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660898518,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660898518,98939,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660898519,706,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660899585,114446,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660899585,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660899585,100000,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660899585,937,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660900722,108179,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660900722,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660900722,99557,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660900722,0,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660901748,107212,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660901748,973,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660901748,99514,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660901748,0,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660902804,95553,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660902804,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660902804,99052,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660902805,946,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660903805,106194,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660903805,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660903805,98895,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660903805,0,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660904805,0,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660904805,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660904806,62037,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660904806,0,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660905806,1011,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660905806,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660905806,33163,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660905806,1011,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660907043,105263,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660907043,1108,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660907043,88642,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660907043,0,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660908338,113513,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660908338,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660908338,99613,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660908338,771,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660909590,110223,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660909590,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660909590,99203,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660909590,0,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660910974,115606,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660910974,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660910974,98913,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660910974,722,node CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660912106,106890,tomcat CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660912106,0,solr CPU %,,,,,true,,0,0,0,0,null,0,0,0
1559660912106,97356,system CPU %,,,,,true,,0,0,0,0,null,0,0,0
